Indicator,Period,State,LGA,Source,Value
Adolescent birth rate,1990,National,All,World Bank,148.0054
Adolescent birth rate,1991,National,All,World Bank,145.7192
Adolescent birth rate,1992,National,All,World Bank,143.433
Adolescent birth rate,1993,National,All,World Bank,142.0736
Adolescent birth rate,1994,National,All,World Bank,140.7142
Adolescent birth rate,1995,National,All,World Bank,139.3548
Adolescent birth rate,1996,National,All,World Bank,137.9954
Adolescent birth rate,1997,National,All,World Bank,136.636
Adolescent birth rate,1998,National,All,World Bank,135.3652
Adolescent birth rate,1999,National,All,World Bank,134.0944
Adolescent birth rate,2000,National,All,World Bank,132.8236
Adolescent birth rate,2001,National,All,World Bank,131.5528
Adolescent birth rate,2002,National,All,World Bank,130.282
Adolescent birth rate,2003,National,All,World Bank,128.8608
Adolescent birth rate,2004,National,All,World Bank,127.4396
Adolescent birth rate,2005,National,All,World Bank,126.0184
Adolescent birth rate,2006,National,All,World Bank,124.5972
Adolescent birth rate,2007,National,All,World Bank,123.176
Adolescent birth rate,2008,National,All,World Bank,121.9508
Adolescent birth rate,2009,National,All,World Bank,120.7256
Adolescent birth rate,2010,National,All,World Bank,119.5004
Adolescent birth rate,2011,National,All,World Bank,118.2752
Adolescent birth rate,2012,National,All,World Bank,117.05
Adolescent birth rate,2013,National,All,World Bank,115.106
Adolescent birth rate,2014,National,All,World Bank,113.162
Adolescent birth rate,2015,National,All,World Bank,111.218
Adolescent birth rate,2016,National,All,World Bank,109.274
Adolescent birth rate,2017,National,All,World Bank,107.33
Adolescent birth rate,2018,National,All,World Bank,105.447
Adolescent birth rate,2019,National,All,World Bank,103.564
ANC Coverage (4 visits),1990,National,All,World Bank,56.5
ANC Coverage (4 visits),1999,National,All,World Bank,63.6
ANC Coverage (4 visits),2000,National,All,World Bank,47.3
ANC Coverage (4 visits),2003,National,All,World Bank,58
ANC Coverage (4 visits),2008,National,All,World Bank,57.7
ANC Coverage (4 visits),2010,National,All,World Bank,54.1
ANC Coverage (4 visits),2011,National,All,World Bank,66.2
ANC Coverage (4 visits),2013,National,All,World Bank,60.6
ANC Coverage (4 visits),2015,National,All,World Bank,62.6
ANC Coverage (4 visits),2017,National,All,World Bank,65.8
ANC Coverage (4 visits),2018,National,All,World Bank,67
ANC Coverage (at least 1 visit),1990,National,All,World Bank,56.5
ANC Coverage (at least 1 visit),1999,National,All,World Bank,63.6
ANC Coverage (at least 1 visit),2003,National,All,World Bank,58
ANC Coverage (at least 1 visit),2008,National,All,World Bank,57.7
ANC Coverage (at least 1 visit),2010,National,All,World Bank,54.1
ANC Coverage (at least 1 visit),2011,National,All,World Bank,66.2
